country,Period,eval_test,runtime,MODEL_VERSION,MODEL_VERSION_NOTE,test
belgium,"('2017-11-29', '2019-05-31')",0.84,00:03:27,0.1,supervised learning model for time-series,False
channel_islands,"('2017-12-02', '2019-05-31')",0.84,00:04:36,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-05-31')",0.84,00:04:46,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-05-31')",0.84,00:04:52,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-05-31')",0.84,00:04:50,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-05-01')",0.84,00:03:00,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-05-31')",0.84,00:04:46,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-04-01')",0.84,00:02:34,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-05-31')",0.84,00:01:51,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-04-02')",0.84,00:01:18,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-05-31')",0.84,00:01:52,0.1,supervised learning model for time-series,False
sweden,"('2017-12-07', '2019-05-31')",0.84,00:01:44,0.1,supervised learning model for time-series,False
switzerland,"('2017-12-15', '2019-05-31')",0.84,00:01:46,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-05-31')",0.84,00:01:55,0.1,supervised learning model for time-series,False
